"day_name","weekday","observations","avg_steps","avg_very_active_min","avg_fairly_active_min","avg_light_active_min","avg_total_active_min"
"Monday",1,120,7780.86666666666,23.1083333333333,14,192.058333333333,229.166666666667
"Tuesday",2,152,8125.00657894737,22.9539473684211,14.3355263157895,197.342105263158,234.631578947368
"Wednesday",3,150,7559.37333333333,20.78,13.1,189.853333333333,223.733333333333
"Thursday",4,147,7405.83673469388,19.4081632653061,11.9591836734694,185.421768707483,216.789115646258
"Friday",5,126,7448.23015873016,20.0555555555556,12.1111111111111,204.198412698413,236.365079365079
"Saturday",6,124,8152.97580645161,21.9193548387097,15.2016129032258,207.145161290323,244.266129032258
"Sunday",7,121,6933.23140495868,19.9834710743802,14.5289256198347,173.97520661157,208.487603305785
