"","TotalSteps","total_active_minutes","VeryActiveMinutes","Calories","TotalMinutesAsleep","sleep_efficiency"
"TotalSteps",1,0.744648468247788,0.543693849635785,0.406300675920967,-0.155203407131434,-0.1100255380816
"total_active_minutes",0.744648468247788,1,0.278751119832123,0.389983188756134,-0.0396778080964208,0.0400162144991857
"VeryActiveMinutes",0.543693849635785,0.278751119832123,1,0.611198292439609,-0.0725659338239324,0.06168726759128
"Calories",0.406300675920967,0.389983188756134,0.611198292439609,1,0.00952429218039625,0.294861811304889
"TotalMinutesAsleep",-0.155203407131434,-0.0396778080964208,-0.0725659338239324,0.00952429218039625,1,0.261079308920468
"sleep_efficiency",-0.1100255380816,0.0400162144991857,0.06168726759128,0.294861811304889,0.261079308920468,1
