"Id","total_days","avg_steps","sd_steps","cv_steps","active_days_pct","very_active_days_pct"
2873212765,31,7555.77419354839,1514.47158462784,0.200438968374809,90.3225806451613,0
2022484408,31,11370.6451612903,2806.99471022405,0.24686327560199,96.7741935483871,87.0967741935484
1503960366,31,12116.7419354839,3052.48420108106,0.251922853299521,96.7741935483871,87.0967741935484
3372868164,20,6861.65,1842.45132121656,0.268514325448916,80,0
3977333714,30,10984.5666666667,3134.14161028715,0.285322280377058,96.6666666666667,73.3333333333333
4558609924,31,7685.12903225806,2356.96128863608,0.306691179646147,87.0967741935484,12.9032258064516
4388161847,31,10813.935483871,3373.13053345093,0.311924418125294,93.5483870967742,74.1935483870968
8877689391,31,16040.0322580645,5821.31513482346,0.362924153839944,96.7741935483871,90.3225806451613
8053475328,31,14763.2903225806,5440.9620545975,0.368546708471585,90.3225806451613,87.0967741935484
6962181067,31,9794.8064516129,3941.75338666568,0.402433004280201,90.3225806451613,67.741935483871
4702921684,31,8572.06451612903,3451.8482772324,0.402685755658682,90.3225806451613,25.8064516129032
4445114986,31,4796.54838709677,1937.07068944682,0.403846794219307,45.1612903225806,0
7086361926,31,9371.77419354839,3857.09331586777,0.411564900755188,83.8709677419355,54.8387096774194
8378563200,31,8717.70967741935,3929.33852103674,0.450730600861202,80.6451612903226,35.4838709677419
5577150313,30,8304.43333333333,3846.98582128858,0.463244831630725,83.3333333333333,30
7007744171,26,11323.4230769231,5306.47759760146,0.468628396338556,84.6153846153846,69.2307692307692
8583815059,31,7198.51612903226,3401.72927465789,0.472559790612737,74.1935483870968,19.3548387096774
4319703577,31,7268.83870967742,3467.05570666499,0.4769751875288,67.741935483871,19.3548387096774
2320127002,31,4716.87096774194,2254.61464175049,0.477989467418021,51.6129032258064,3.2258064516129
8253242879,19,6482.15789473684,3141.3251319778,0.484611017347847,68.421052631579,15.7894736842105
2347167796,18,9519.66666666667,4682.0936995926,0.4918337861542,94.4444444444444,50
6290855005,29,5649.55172413793,2857.6123098315,0.505812221812615,79.3103448275862,0
2026352035,31,5566.87096774194,2977.83481455834,0.534920753833499,51.6129032258064,9.67741935483871
5553957443,31,8612.58064516129,5074.50503841963,0.589196809584661,64.5161290322581,48.3870967741936
1644430081,30,7282.96666666667,4325.47882526502,0.593917152616153,63.3333333333333,23.3333333333333
6117666160,28,7046.71428571429,4887.69815441556,0.693613783139232,64.2857142857143,21.4285714285714
4057192912,4,3838,2691.66565531457,0.701319868503014,50,0
1844505072,31,2580.06451612903,2712.83685386699,1.05146085956686,16.1290322580645,0
1624580081,31,5743.90322580645,6177.04861216012,1.0754095898426,45.1612903225806,6.45161290322581
6775888955,26,2519.69230769231,3027.80254005086,1.20165566676826,19.2307692307692,3.84615384615385
8792009665,29,1853.72413793103,2327.36021364107,1.25550515635982,13.7931034482759,0
1927972279,31,916.129032258065,1205.26906378992,1.31561059779886,0,0
4020332650,31,2267.22580645161,3369.79062366074,1.48630569309491,19.3548387096774,6.45161290322581
